//
// Fantom Unit Database
//
// Quantity sections are delimited as "-- {name} (dim)".  Each unit
// must match the string format specified by Unit.define.
//
// History:
//   20 Dec 08  Brian Frank  Auto generate from oBIX database
//   15 Sep 10  Brian Frank  Rework to be simple text file
//

-- dimensionless (null)
percent, %
metric_tons_per_hour, ton/h; kg1*sec-1; 0.2777777777777778

-- momentum (kg1*m1*sec-1)
newton_second, Ns; kg1*m1*sec-1

-- power (kg1*m2*sec-3)
watt, W; kg1*m2*sec-3
milliwatt, mW; kg1*m2*sec-3; 0.0010
kilowatt, kW; kg1*m2*sec-3; 1000.0
megawatt, MW; kg1*m2*sec-3; 1000000.0
gigawatt, GW; kg1*m2*sec-3; 1.0E9
btus_per_hour, BTU/h; kg1*m2*sec-3; 0.292875
horsepower, hp; kg1*m2*sec-3; 745.7
foot_pounds_per_second, ftlbs/sec; kg1*m2*sec-3; 1.355818
tons_refrigeration, tonref; kg1*m2*sec-3; 3516.853
kilobtus_per_hour, kBTU/h; kg1*m2*sec-3; 293.07107017222

-- power by area (kg1*sec-3)
watts_per_square_meter, W/m²; kg1*sec-3
kilowatts_per_square_meter, kW/m²; kg1*sec-3; 1000.0
kilowatts_per_square_foot, kW/ft²; kg1*sec-3; 10763.9104

-- apparent power (kg1*m2*sec-3)
volt_ampere, VA; kg1*m2*sec-3
kilovolt_ampere, kVA; kg1*m2*sec-3; 1000.0
megavolt_ampere, mVA; kg1*m2*sec-3; 1000000.0

-- reactive power (kg1*m2*sec-3)
volt_ampere_reactive, VAR; kg1*m2*sec-3
kilovolt_ampere_reactive, kVAR; kg1*m2*sec-3; 1000.0
megavolt_ampere_reactive, MVAR; kg1*m2*sec-3; 1000000.0

-- pressure (kg1*m-1*sec-2)
pascal, Pa; kg1*m-1*sec-2
kilopascal, kPa; kg1*m-1*sec-2; 1000.0
bar; kg1*m-1*sec-2; 100000.0
atmosphere, atm; kg1*m-1*sec-2; 101317.1
pounds_per_square_inch, psi; kg1*m-1*sec-2; 6894.73
centimeters_of_water, cmH₂O; kg1*m-1*sec-2; 98.0665
inches_of_water, inH₂O; kg1*m-1*sec-2; 248.84
millimeters_of_mercury, mmHg; kg1*m-1*sec-2; 133.322368421
centimeters_of_mercury, cmHg; kg1*m-1*sec-2; 1333.22368421
inches_of_mercury, inHg; kg1*m-1*sec-2; 3386.38815789
hectopascal, hPa; kg1*m-1*sec-2; 100.0
millibar, mbar; kg1*m-1*sec-2; 100.0

-- specific entropy (m2*sec-2*K-1)
joules_per_kilogram_degree_kelvin, J/kg°K; m2*sec-2*K-1

-- surface tension (kg1*sec-2)
newtons_per_meter, N/m; kg1*sec-2

-- temperature (K1)
fahrenheit, °F; K1; 0.5555555555555556; 255.37222222222223
celsius, °C; K1; 1.0; 273.15
kelvin, K; K1

-- temperature differential (K1)
fahrenheit_degrees, Δ°F; K1; 0.5555555555555556
celsius_degrees, Δ°C; K1
kelvin_degrees, ΔK; K1

-- thermal conductivity (kg1*m1*sec-3*K-1)
watts_per_meter_degree_kelvin, W/m°K; kg1*m1*sec-3*K-1

-- time (sec1)
nanosecond, ns; sec1; 1.0E-9
microsecond, us; sec1; 1.0E-6
millisecond, ms; sec1; 0.0010
hundredths_second, cs; sec1; 0.01
tenths_second, ds; sec1; 0.1
second, sec, s; sec1
minute, min; sec1; 60.0
hour, hr, h; sec1; 3600.0
day; sec1; 86400.0
week, wk; sec1; 604800.0
julian_month, mo; sec1; 2629800.0
year, yr; sec1; 3.1536E7

-- velocity (m1*sec-1)
meters_per_second, m/s; m1*sec-1
kilometers_per_second, km/s; m1*sec-1; 1000.0
kilometers_per_hour, km/h; m1*sec-1; 0.277778
miles_per_hour, mph; m1*sec-1; 0.447027
feet_per_second, ft/s; m1*sec-1; 0.3048
feet_per_minute, ft/min; m1*sec-1; 0.00508
millimeters_per_second, mm/s; m1*sec-1; 0.0010
millimeters_per_minute, mm/min; m1*sec-1; 1.6666666666666667E-5
meters_per_minute, m/min; m1*sec-1; 0.016666666666666666
meters_per_hour, m/h; m1*sec-1; 2.777777777777778E-4

-- volume (m3)
cubic_meter, m³; m3
cubic_millimeter, mm³; m3; 1.0E-9
cubic_centimeter, cm³; m3; 1.0E-6
milliliter, mL; m3; 1.0E-6
liter, L; m3; 0.0010
kiloliter, kL; m3
cubic_inch, in³; m3; 1.6387064E-5
cubic_foot, ft³; m3; 0.028317
cubic_yard, yd³; m3; 0.764555
gallon, gal; m3; 0.003785
quart, qt; m3; 9.46E-4
pint, pt; m3; 4.73E-4
fluid_ounce, fl_oz; m3; 2.95729E-5
imperial_gallon, galUK; m3; 0.004546092

-- volumetric flow (m3*sec-1)
cubic_meters_per_second, m³/s; m3*sec-1
milliliters_per_second, mL/s; m3*sec-1; 1.0E-6
liters_per_second, L/s; m3*sec-1; 0.0010
cubic_feet_per_second, cfs; m3*sec-1; 0.028317
cubic_feet_per_minute, cfm; m3*sec-1; 4.719474432E-4
imperial_gallons_per_minute, galUK/min; m3*sec-1; 0.004546092
liters_per_minute, L/min; m3*sec-1; 1.6666666666666667E-5
gallons_per_minute, gal/min; m3*sec-1; 6.30901964E-5
cubic_meters_per_hour, m³/h; m3*sec-1; 2.777777777777778E-4
liters_per_hour, L/h; m3*sec-1; 2.7777777777777776E-7
cubic_meters_per_minute, m³/min; m3*sec-1; 0.016666666666666666

